"Lab","Diet","Sex","Batch","Population_count","Population_ids","Line_count","Line_ids","Replicate_count","Replicate_ids","Observation_count"
"Kozeretska","NS","M","2",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",112,"AK1; AK10; AK11; AK12; AK13; AK14; AK16; AK17; AK20; AK3; AK4; AK5; AK7; AK8; AK9; GI1; GI11; GI14; GI2; GI3; GI6; GI8; KA1; KA10; KA13; KA14; KA15; KA16; KA17; KA18; KA2; KA3; KA5; KA7; MA16; MA18; MA19; MA20; MA21; MA27; MA3; MA30; MA31; MA32; MA33; MA7; MA9; MU1; MU11; MU12; MU13; MU14; MU15; MU17; MU18; MU2; MU3; MU5; MU6; MU7; MU8; MU9; RE1; RE10; RE11; RE12; RE13; RE15; RE16; RE17; RE2; RE6; RE7; UM13; UM18; UM2; UM20; UM21; UM23; UM29; UM4; UM5; UM7; UM9; VA1; VA11; VA15; VA18; VA22; VA26; VA34; VA35; VA44; VA46; VA48; VA55; VA57; VA6; VA66; VA67; VA71; VA9; YE13; YE14; YE19; YE22; YE27; YE33; YE40; YE48; YE49; YE80",112,"Kozeretska_2_AK1_1; Kozeretska_2_AK10_1; Kozeretska_2_AK11_1; Kozeretska_2_AK12_1; Kozeretska_2_AK13_1; Kozeretska_2_AK14_1; Kozeretska_2_AK16_1; Kozeretska_2_AK17_1; Kozeretska_2_AK20_1; Kozeretska_2_AK3_1; Kozeretska_2_AK4_1; Kozeretska_2_AK5_1; Kozeretska_2_AK7_1; Kozeretska_2_AK8_1; Kozeretska_2_AK9_1; Kozeretska_2_GI1_1; Kozeretska_2_GI11_1; Kozeretska_2_GI14_1; Kozeretska_2_GI2_1; Kozeretska_2_GI3_1; Kozeretska_2_GI6_1; Kozeretska_2_GI8_1; Kozeretska_2_KA1_1; Kozeretska_2_KA10_1; Kozeretska_2_KA13_1; Kozeretska_2_KA14_1; Kozeretska_2_KA15_1; Kozeretska_2_KA16_1; Kozeretska_2_KA17_1; Kozeretska_2_KA18_1; Kozeretska_2_KA2_1; Kozeretska_2_KA3_1; Kozeretska_2_KA5_1; Kozeretska_2_KA7_1; Kozeretska_2_MA16_1; Kozeretska_2_MA18_1; Kozeretska_2_MA19_1; Kozeretska_2_MA20_1; Kozeretska_2_MA21_1; Kozeretska_2_MA27_1; Kozeretska_2_MA3_1; Kozeretska_2_MA30_1; Kozeretska_2_MA31_1; Kozeretska_2_MA32_1; Kozeretska_2_MA33_1; Kozeretska_2_MA7_1; Kozeretska_2_MA9_1; Kozeretska_2_MU1_1; Kozeretska_2_MU11_1; Kozeretska_2_MU12_1; Kozeretska_2_MU13_1; Kozeretska_2_MU14_1; Kozeretska_2_MU15_1; Kozeretska_2_MU17_1; Kozeretska_2_MU18_1; Kozeretska_2_MU2_1; Kozeretska_2_MU3_1; Kozeretska_2_MU5_1; Kozeretska_2_MU6_1; Kozeretska_2_MU7_1; Kozeretska_2_MU8_1; Kozeretska_2_MU9_1; Kozeretska_2_RE1_1; Kozeretska_2_RE10_1; Kozeretska_2_RE11_1; Kozeretska_2_RE12_1; Kozeretska_2_RE13_1; Kozeretska_2_RE15_1; Kozeretska_2_RE16_1; Kozeretska_2_RE17_1; Kozeretska_2_RE2_1; Kozeretska_2_RE6_1; Kozeretska_2_RE7_1; Kozeretska_2_UM13_1; Kozeretska_2_UM18_1; Kozeretska_2_UM2_1; Kozeretska_2_UM20_1; Kozeretska_2_UM21_1; Kozeretska_2_UM23_1; Kozeretska_2_UM29_1; Kozeretska_2_UM4_1; Kozeretska_2_UM5_1; Kozeretska_2_UM7_1; Kozeretska_2_UM9_1; Kozeretska_2_VA1_1; Kozeretska_2_VA11_1; Kozeretska_2_VA15_1; Kozeretska_2_VA18_1; Kozeretska_2_VA22_1; Kozeretska_2_VA26_1; Kozeretska_2_VA34_1; Kozeretska_2_VA35_1; Kozeretska_2_VA44_1; Kozeretska_2_VA46_1; Kozeretska_2_VA48_1; Kozeretska_2_VA55_1; Kozeretska_2_VA57_1; Kozeretska_2_VA6_1; Kozeretska_2_VA66_1; Kozeretska_2_VA67_1; Kozeretska_2_VA71_1; Kozeretska_2_VA9_1; Kozeretska_2_YE13_1; Kozeretska_2_YE14_1; Kozeretska_2_YE19_1; Kozeretska_2_YE22_1; Kozeretska_2_YE27_1; Kozeretska_2_YE33_1; Kozeretska_2_YE40_1; Kozeretska_2_YE48_1; Kozeretska_2_YE49_1; Kozeretska_2_YE80_1",2240
"Schmidt","NS","F","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",157,"AK1; AK10; AK11; AK12; AK13; AK14; AK15; AK16; AK17; AK18; AK2; AK20; AK21; AK3; AK4; AK5; AK6; AK7; AK8; AK9; GI1; GI10; GI11; GI12; GI13; GI14; GI15; GI2; GI3; GI5; GI7; GI8; GI9; KA1; KA10; KA11; KA13; KA14; KA16; KA17; KA18; KA2; KA23; KA24; KA25; KA28; KA29; KA3; KA5; KA6; KA7; KA9; MA12; MA13; MA18; MA19; MA20; MA21; MA23; MA26; MA27; MA28; MA3; MA30; MA31; MA32; MA33; MA5; MA6; MA7; MA9; MU1; MU10; MU11; MU12; MU13; MU14; MU15; MU16; MU17; MU18; MU19; MU2; MU20; MU3; MU4; MU5; MU6; MU7; MU8; MU9; RE10; RE11; RE12; RE13; RE15; RE16; RE17; RE18; RE2; RE3; RE4; RE5; RE6; RE7; UM13; UM17; UM18; UM2; UM20; UM21; UM22; UM23; UM25; UM28; UM29; UM4; UM5; UM7; UM9; VA11; VA15; VA18; VA22; VA26; VA30; VA34; VA35; VA44; VA46; VA47; VA48; VA55; VA57; VA66; VA67; VA71; YE11; YE13; YE14; YE15; YE19; YE20; YE21; YE22; YE23; YE24; YE26; YE27; YE33; YE40; YE41; YE48; YE49; YE51; YE69; YE80",157,"Schmidt_1_AK1_1; Schmidt_1_AK10_1; Schmidt_1_AK11_1; Schmidt_1_AK12_1; Schmidt_1_AK13_1; Schmidt_1_AK14_1; Schmidt_1_AK15_1; Schmidt_1_AK16_1; Schmidt_1_AK17_1; Schmidt_1_AK18_1; Schmidt_1_AK2_1; Schmidt_1_AK20_1; Schmidt_1_AK21_1; Schmidt_1_AK3_1; Schmidt_1_AK4_1; Schmidt_1_AK5_1; Schmidt_1_AK6_1; Schmidt_1_AK7_1; Schmidt_1_AK8_1; Schmidt_1_AK9_1; Schmidt_1_GI1_1; Schmidt_1_GI10_1; Schmidt_1_GI11_1; Schmidt_1_GI12_1; Schmidt_1_GI13_1; Schmidt_1_GI14_1; Schmidt_1_GI15_1; Schmidt_1_GI2_1; Schmidt_1_GI3_1; Schmidt_1_GI5_1; Schmidt_1_GI8_1; Schmidt_1_GI9_1; Schmidt_1_KA1_1; Schmidt_1_KA10_1; Schmidt_1_KA11_1; Schmidt_1_KA13_1; Schmidt_1_KA14_1; Schmidt_1_KA16_1; Schmidt_1_KA17_1; Schmidt_1_KA18_1; Schmidt_1_KA2_1; Schmidt_1_KA23_1; Schmidt_1_KA24_1; Schmidt_1_KA25_1; Schmidt_1_KA28_1; Schmidt_1_KA29_1; Schmidt_1_KA3_1; Schmidt_1_KA5_1; Schmidt_1_KA6_1; Schmidt_1_KA7_1; Schmidt_1_KA9_1; Schmidt_1_MA12_1; Schmidt_1_MA13_1; Schmidt_1_MA18_1; Schmidt_1_MA19_1; Schmidt_1_MA20_1; Schmidt_1_MA21_1; Schmidt_1_MA23_1; Schmidt_1_MA26_1; Schmidt_1_MA27_1; Schmidt_1_MA28_1; Schmidt_1_MA3_1; Schmidt_1_MA30_1; Schmidt_1_MA31_1; Schmidt_1_MA32_1; Schmidt_1_MA33_1; Schmidt_1_MA5_1; Schmidt_1_MA6_1; Schmidt_1_MA7_1; Schmidt_1_MA9_1; Schmidt_1_MU1_1; Schmidt_1_MU10_1; Schmidt_1_MU11_1; Schmidt_1_MU12_1; Schmidt_1_MU13_1; Schmidt_1_MU14_1; Schmidt_1_MU15_1; Schmidt_1_MU16_1; Schmidt_1_MU17_1; Schmidt_1_MU18_1; Schmidt_1_MU19_1; Schmidt_1_MU2_1; Schmidt_1_MU20_1; Schmidt_1_MU3_1; Schmidt_1_MU4_1; Schmidt_1_MU5_1; Schmidt_1_MU6_1; Schmidt_1_MU7_1; Schmidt_1_MU8_1; Schmidt_1_MU9_1; Schmidt_1_RE10_1; Schmidt_1_RE11_1; Schmidt_1_RE12_1; Schmidt_1_RE13_1; Schmidt_1_RE15_1; Schmidt_1_RE16_1; Schmidt_1_RE17_1; Schmidt_1_RE18_1; Schmidt_1_RE2_1; Schmidt_1_RE3_1; Schmidt_1_RE4_1; Schmidt_1_RE5_1; Schmidt_1_RE6_1; Schmidt_1_RE7_1; Schmidt_1_UM13_1; Schmidt_1_UM17_1; Schmidt_1_UM18_1; Schmidt_1_UM2_1; Schmidt_1_UM20_1; Schmidt_1_UM21_1; Schmidt_1_UM22_1; Schmidt_1_UM23_1; Schmidt_1_UM25_1; Schmidt_1_UM28_1; Schmidt_1_UM29_1; Schmidt_1_UM4_1; Schmidt_1_UM5_1; Schmidt_1_UM7_1; Schmidt_1_UM9_1; Schmidt_1_VA11_1; Schmidt_1_VA15_1; Schmidt_1_VA18_1; Schmidt_1_VA22_1; Schmidt_1_VA26_1; Schmidt_1_VA30_1; Schmidt_1_VA34_1; Schmidt_1_VA35_1; Schmidt_1_VA44_1; Schmidt_1_VA46_1; Schmidt_1_VA47_1; Schmidt_1_VA48_1; Schmidt_1_VA55_1; Schmidt_1_VA57_1; Schmidt_1_VA66_1; Schmidt_1_VA67_1; Schmidt_1_VA71_1; Schmidt_1_YE11_1; Schmidt_1_YE13_1; Schmidt_1_YE14_1; Schmidt_1_YE15_1; Schmidt_1_YE19_1; Schmidt_1_YE20_1; Schmidt_1_YE21_1; Schmidt_1_YE22_1; Schmidt_1_YE23_1; Schmidt_1_YE24_1; Schmidt_1_YE26_1; Schmidt_1_YE27_1; Schmidt_1_YE33_1; Schmidt_1_YE40_1; Schmidt_1_YE41_1; Schmidt_1_YE48_1; Schmidt_1_YE49_1; Schmidt_1_YE51_1; Schmidt_1_YE69_1; Schmidt_1_YE80_1; Schmidt_1_GI7_1",1514
"Posnien","S","F","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",27,"AK12; AK3; AK7; GI10; GI14; GI7; KA16; KA6; KA7; MA13; MA3; MA30; MU11; MU15; MU4; RE11; RE15; RE18; UM20; UM5; UM9; VA15; VA48; VA6; YE14; YE19; YE21",27,"Posnien_1_AK12_1; Posnien_1_AK3_1; Posnien_1_AK7_1; Posnien_1_GI10_1; Posnien_1_GI14_1; Posnien_1_GI7_1; Posnien_1_KA16_1; Posnien_1_KA6_1; Posnien_1_KA7_1; Posnien_1_MA13_1; Posnien_1_MA3_1; Posnien_1_MA30_1; Posnien_1_MU11_1; Posnien_1_MU15_1; Posnien_1_MU4_1; Posnien_1_RE11_1; Posnien_1_RE15_1; Posnien_1_RE18_1; Posnien_1_UM20_1; Posnien_1_UM5_1; Posnien_1_UM9_1; Posnien_1_VA15_1; Posnien_1_VA48_1; Posnien_1_VA6_1; Posnien_1_YE14_1; Posnien_1_YE19_1; Posnien_1_YE21_1",270
"Posnien","S","M","1",9,"AK; GI; KA; MA; MU; RE; UM; VA; YE",27,"AK12; AK3; AK7; GI10; GI14; GI7; KA16; KA6; KA7; MA13; MA3; MA30; MU11; MU15; MU4; RE11; RE15; RE18; UM20; UM5; UM9; VA15; VA48; VA6; YE14; YE19; YE21",27,"Posnien_1_AK12_1; Posnien_1_AK3_1; Posnien_1_AK7_1; Posnien_1_GI10_1; Posnien_1_GI14_1; Posnien_1_GI7_1; Posnien_1_KA16_1; Posnien_1_KA6_1; Posnien_1_KA7_1; Posnien_1_MA13_1; Posnien_1_MA3_1; Posnien_1_MA30_1; Posnien_1_MU11_1; Posnien_1_MU15_1; Posnien_1_MU4_1; Posnien_1_RE11_1; Posnien_1_RE15_1; Posnien_1_RE18_1; Posnien_1_UM20_1; Posnien_1_UM5_1; Posnien_1_UM9_1; Posnien_1_VA15_1; Posnien_1_VA48_1; Posnien_1_VA6_1; Posnien_1_YE14_1; Posnien_1_YE19_1; Posnien_1_YE21_1",270
"Ritchie","S","F","1",2,"KA; MA",2,"KA1; MA3",6,"Ritchie_1_KA1_1; Ritchie_1_KA1_2; Ritchie_1_KA1_3; Ritchie_1_MA3_1; Ritchie_1_MA3_2; Ritchie_1_MA3_3",72
"Ritchie","S","F","2",2,"AK; GI",2,"AK1; GI1",6,"Ritchie_2_AK1_1; Ritchie_2_AK1_2; Ritchie_2_AK1_3; Ritchie_2_GI1_1; Ritchie_2_GI1_2; Ritchie_2_GI1_3",72
"Ritchie","S","F","3",2,"MU; YE",2,"MU1; YE11",6,"Ritchie_3_MU1_1; Ritchie_3_MU1_2; Ritchie_3_MU1_3; Ritchie_3_YE11_1; Ritchie_3_YE11_2; Ritchie_3_YE11_3",85
"Ritchie","S","F","4",3,"KA; MA; MU",3,"KA2; MA5; MU2",9,"Ritchie_4_KA2_1; Ritchie_4_KA2_2; Ritchie_4_KA2_3; Ritchie_4_MA5_1; Ritchie_4_MA5_2; Ritchie_4_MA5_3; Ritchie_4_MU2_1; Ritchie_4_MU2_2; Ritchie_4_MU2_3",128
"Ritchie","S","F","6",3,"AK; GI; YE",3,"AK2; GI2; YE13",9,"Ritchie_6_AK2_1; Ritchie_6_AK2_2; Ritchie_6_AK2_3; Ritchie_6_GI2_1; Ritchie_6_GI2_2; Ritchie_6_GI2_3; Ritchie_6_YE13_1; Ritchie_6_YE13_2; Ritchie_6_YE13_3",118
"Ritchie","S","F","7",2,"KA; MA",2,"KA3; MA6",6,"Ritchie_7_KA3_1; Ritchie_7_KA3_2; Ritchie_7_KA3_3; Ritchie_7_MA6_1; Ritchie_7_MA6_2; Ritchie_7_MA6_3",90
"Ritchie","S","F","9",3,"AK; GI; YE",3,"AK3; GI3; YE14",9,"Ritchie_9_AK3_1; Ritchie_9_AK3_2; Ritchie_9_AK3_3; Ritchie_9_GI3_1; Ritchie_9_GI3_2; Ritchie_9_GI3_3; Ritchie_9_YE14_1; Ritchie_9_YE14_2; Ritchie_9_YE14_3",132
"Ritchie","S","F","10",2,"KA; MA",2,"KA5; MA7",6,"Ritchie_10_KA5_1; Ritchie_10_KA5_2; Ritchie_10_KA5_3; Ritchie_10_MA7_1; Ritchie_10_MA7_2; Ritchie_10_MA7_3",77
"Ritchie","S","F","11",1,"YE",1,"YE15",3,"Ritchie_11_YE15_1; Ritchie_11_YE15_2; Ritchie_11_YE15_3",34
"Ritchie","S","F","12",2,"AK; GI",2,"AK4; GI4",6,"Ritchie_12_AK4_1; Ritchie_12_AK4_2; Ritchie_12_AK4_3; Ritchie_12_GI4_1; Ritchie_12_GI4_2; Ritchie_12_GI4_3",79
"Ritchie","S","F","13",2,"KA; MA",2,"KA6; MA9",6,"Ritchie_13_KA6_1; Ritchie_13_KA6_2; Ritchie_13_KA6_3; Ritchie_13_MA9_1; Ritchie_13_MA9_2; Ritchie_13_MA9_3",88
"Ritchie","S","F","15",2,"GI; YE",2,"GI5; YE19",6,"Ritchie_15_GI5_1; Ritchie_15_GI5_2; Ritchie_15_GI5_3; Ritchie_15_YE19_1; Ritchie_15_YE19_2; Ritchie_15_YE19_3",84
"Ritchie","S","M","1",2,"KA; MA",2,"KA1; MA3",6,"Ritchie_1_KA1_1; Ritchie_1_KA1_2; Ritchie_1_KA1_3; Ritchie_1_MA3_1; Ritchie_1_MA3_2; Ritchie_1_MA3_3",84
"Ritchie","S","M","2",2,"AK; GI",2,"AK1; GI1",6,"Ritchie_2_AK1_1; Ritchie_2_AK1_2; Ritchie_2_AK1_3; Ritchie_2_GI1_1; Ritchie_2_GI1_2; Ritchie_2_GI1_3",76
"Ritchie","S","M","3",2,"MU; YE",2,"MU1; YE11",6,"Ritchie_3_MU1_1; Ritchie_3_MU1_2; Ritchie_3_MU1_3; Ritchie_3_YE11_1; Ritchie_3_YE11_2; Ritchie_3_YE11_3",80
"Ritchie","S","M","4",3,"KA; MA; MU",3,"KA2; MA5; MU2",9,"Ritchie_4_KA2_1; Ritchie_4_KA2_2; Ritchie_4_KA2_3; Ritchie_4_MA5_1; Ritchie_4_MA5_2; Ritchie_4_MA5_3; Ritchie_4_MU2_1; Ritchie_4_MU2_2; Ritchie_4_MU2_3",120
"Ritchie","S","M","6",3,"AK; GI; YE",3,"AK2; GI2; YE13",9,"Ritchie_6_AK2_1; Ritchie_6_AK2_2; Ritchie_6_AK2_3; Ritchie_6_GI2_1; Ritchie_6_GI2_2; Ritchie_6_GI2_3; Ritchie_6_YE13_1; Ritchie_6_YE13_2; Ritchie_6_YE13_3",115
"Ritchie","S","M","7",2,"KA; MA",2,"KA3; MA6",6,"Ritchie_7_KA3_1; Ritchie_7_KA3_2; Ritchie_7_KA3_3; Ritchie_7_MA6_1; Ritchie_7_MA6_2; Ritchie_7_MA6_3",82
"Ritchie","S","M","9",3,"AK; GI; YE",3,"AK3; GI3; YE14",9,"Ritchie_9_AK3_1; Ritchie_9_AK3_2; Ritchie_9_AK3_3; Ritchie_9_GI3_1; Ritchie_9_GI3_2; Ritchie_9_GI3_3; Ritchie_9_YE14_1; Ritchie_9_YE14_2; Ritchie_9_YE14_3",130
"Ritchie","S","M","10",2,"KA; MA",2,"KA5; MA7",6,"Ritchie_10_KA5_1; Ritchie_10_KA5_2; Ritchie_10_KA5_3; Ritchie_10_MA7_1; Ritchie_10_MA7_2; Ritchie_10_MA7_3",72
"Ritchie","S","M","11",1,"YE",1,"YE15",3,"Ritchie_11_YE15_1; Ritchie_11_YE15_2; Ritchie_11_YE15_3",35
"Ritchie","S","M","12",2,"AK; GI",2,"AK4; GI4",6,"Ritchie_12_AK4_1; Ritchie_12_AK4_2; Ritchie_12_AK4_3; Ritchie_12_GI4_1; Ritchie_12_GI4_2; Ritchie_12_GI4_3",81
"Ritchie","S","M","13",2,"KA; MA",2,"KA6; MA9",6,"Ritchie_13_KA6_1; Ritchie_13_KA6_2; Ritchie_13_KA6_3; Ritchie_13_MA9_1; Ritchie_13_MA9_2; Ritchie_13_MA9_3",73
"Ritchie","S","M","15",2,"GI; YE",2,"GI5; YE19",6,"Ritchie_15_GI5_1; Ritchie_15_GI5_2; Ritchie_15_GI5_3; Ritchie_15_YE19_1; Ritchie_15_YE19_2; Ritchie_15_YE19_3",76
